     remote           refid      st t when poll reach   delay   offset  jitter
     remote           refid      st t when poll reach   delay   offset  jitter
==============================================================================
 ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
*brenbox.westnet .GPS.            1 u  159 1024  377   21.306   -0.378   0.651
-time.shf.uk.as4 198.137.202.11   3 u   47 1024  377   26.091   -0.712   2.246
-kabel.kashra-se .PPS.            1 u  124 1024  377   61.086   -8.655   3.382
-185.216.231.116 52.239.121.49    3 u   29 1024  137  167.409   -9.389   2.320
-ntp1.ds.network 92.21.53.217     2 u  172 1024  377   31.158   -0.612   1.314
-crimson.en.kku. 202.28.116.236   2 u  435  512  367  221.697    2.463   0.749
+chilipepper.can 17.253.34.251    2 u  376  512  375   26.797    0.102   1.441
+golem.canonical 17.253.108.125   2 u  398  512  377   25.269   -0.391   2.081
-alphyn.canonica 17.253.34.123    2 u  312  512  377   83.015    0.453   0.920
     remote           refid      st t when poll reach   delay   offset  jitter
==============================================================================
 ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
*brenbox.westnet .GPS.            1 u  329 1024  377   21.306   -0.378   0.665
-time.shf.uk.as4 198.137.202.11   3 u  186 1024  377   26.091   -0.712   2.077
-kabel.kashra-se .PPS.            1 u  282 1024  377   56.483   -7.432   2.243
-185.216.231.116 52.239.121.49    3 u  173 1024  277  167.409   -9.389   2.361
-ntp1.ds.network 92.21.53.217     2 u  310 1024  377   30.367   -2.067   1.364
-crimson.en.kku. 202.28.116.236   2 u   43 1024  337  221.846    0.638   1.742
+chilipepper.can 17.253.34.251    2 u 1049 1024  373   26.484    0.321   1.372
+golem.canonical 17.253.108.253   2 u   41 1024  377   28.044    0.155   1.564
-alphyn.canonica 17.253.34.123    2 u  999 1024  377   83.015    0.453   0.902
     remote           refid      st t when poll reach   delay   offset  jitter
==============================================================================
 ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
*brenbox.westnet .GPS.            1 u  493 1024  377   22.336   -1.053   0.744
-time.shf.uk.as4 198.137.202.11   3 u  332 1024  377   31.067   -0.629   1.761
-kabel.kashra-se .PPS.            1 u  451 1024  377   56.483   -7.432   2.220
-185.216.231.116 52.239.121.49    3 u  325 1024  177  176.629   -7.375   1.279
+ntp1.ds.network 92.21.53.217     2 u  458 1024  377   30.367   -2.067   1.789
-crimson.en.kku. 202.12.97.45     2 u  189 1024  277  220.813   -0.199   2.221
+chilipepper.can 17.253.34.251    2 u  117 1024  357   28.395   -1.450   1.698
-golem.canonical 17.253.108.253   2 u  177 1024  377   29.985    1.417   1.359
-alphyn.canonica 17.253.34.123    2 u   91 1024  377   83.750   -0.196   3.389
     remote           refid      st t when poll reach   delay   offset  jitter
==============================================================================
 ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
*brenbox.westnet .GPS.            1 u  649 1024  377   21.233   -1.681   1.223
-time.shf.uk.as4 198.137.202.11   3 u  481 1024  377   28.834   -1.108   2.089
-kabel.kashra-se .PPS.            1 u  570 1024  377   57.271   -5.841   1.662
-185.216.231.116 52.239.121.49    3 u  500 1024  377  168.386   -9.279   1.964
+ntp1.ds.network 92.21.53.217     2 u  607 1024  377   33.795   -2.366   1.993
-crimson.en.kku. 202.28.116.236   2 u  304 1024  177  219.138    0.483   1.274
+chilipepper.can 17.253.34.251    2 u 1317 1024  336   28.395   -1.450   1.698
-golem.canonical 17.253.108.253   2 u 1377 1024  376   29.985    1.417   1.359
-alphyn.canonica 17.253.34.123    2 u 1291 1024  376   83.750   -0.196   3.389
     remote           refid      st t when poll reach   delay   offset  jitter
==============================================================================
 ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
*brenbox.westnet .GPS.            1 u  810 1024  377   21.099   -1.371   0.923
-time.shf.uk.as4 198.137.202.11   3 u  650 1024  377   28.834   -1.108   1.904
-kabel.kashra-se .PPS.            1 u  733 1024  377   55.487   -7.703   2.036
-185.216.231.116 52.239.121.49    3 u  669 1024  377  168.386   -9.279  13.202
+ntp1.ds.network 92.21.53.217     2 u  759 1024  377   29.492   -1.081   1.421
-crimson.en.kku. 202.12.97.45     2 u  453 1024  377  219.138    0.483   1.197
+chilipepper.can 131.188.3.220    2 u  444 1024  275   26.505   -1.122   1.357
-golem.canonical 145.238.203.14   2 u  466 1024  375   28.975    0.755   0.650
-alphyn.canonica 145.238.203.14   2 u  398 1024  375   84.788   -0.129   3.353
     remote           refid      st t when poll reach   delay   offset  jitter
==============================================================================
 ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
*brenbox.westnet .GPS.            1 u  968 1024  377   21.099   -1.371   0.899
-time.shf.uk.as4 198.137.202.11   3 u  807 1024  377   30.566   -1.088   1.561
-kabel.kashra-se .PPS.            1 u  904 1024  377   55.487   -7.703   1.786
-185.216.231.116 52.239.121.49    3 u  815 1024  377  165.504   -8.696  12.926
+ntp1.ds.network 92.21.53.217     2 u  880 1024  377   29.492   -1.081   1.403
-crimson.en.kku. 202.12.97.45     2 u  608 1024  377  216.785   -0.502   1.680
+chilipepper.can 145.238.203.14   2 u  565 1024  173   26.505   -1.122   1.276
-golem.canonical 17.253.108.125   2 u  619 1024  373   28.975    0.755   0.589
-alphyn.canonica 145.238.203.14   2 u  553 1024  373   84.401   -1.467   4.168
     remote           refid      st t when poll reach   delay   offset  jitter
==============================================================================
 ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
*brenbox.westnet .GPS.            1 u   51 1024  377   20.440   -2.708   1.786
-time.shf.uk.as4 198.137.202.11   3 u  934 1024  377   30.566   -1.088   1.380
-kabel.kashra-se .PPS.            1 u   28 1024  377   57.468   -7.680   1.765
-185.216.231.116 52.239.121.49    3 u  956 1024  377  165.504   -8.696  12.937
+ntp1.ds.network 92.21.53.217     2 u 1033 1024  377   30.256    0.323   1.840
-crimson.en.kku. 202.12.97.45     2 u  728 1024  377  216.785   -0.502   1.446
-chilipepper.can 145.238.203.14   2 u 1765 1024  366   26.505   -1.122   1.276
+golem.canonical 17.253.108.253   2 u  763 1024  367   29.301    0.691   0.567
-alphyn.canonica 17.253.34.253    2 u  688 1024  367   83.663   -1.201   3.891
     remote           refid      st t when poll reach   delay   offset  jitter
==============================================================================
 ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
*brenbox.westnet .GPS.            1 u  194 1024  377   20.440   -2.708   1.860
-time.shf.uk.as4 198.137.202.11   3 u   21 1024  377   28.016   -0.029   1.348
-kabel.kashra-se .PPS.            1 u  178 1024  377   60.903  -10.339   3.394
-185.216.231.116 52.239.121.49    3 u 1084 1024  376  175.482   -6.143  12.497
+ntp1.ds.network 92.21.53.217     2 u  132 1024  377   32.465   -1.998   1.549
-crimson.en.kku. 202.12.97.45     2 u  846 1024  377  223.534    1.447   2.250
-chilipepper.can 134.71.66.21     2 u  866 1024  355   30.121   -1.306   1.244
+golem.canonical 17.253.108.253   2 u  928 1024  357   27.807   -0.481   1.286
-alphyn.canonica 17.253.34.253    2 u  811 1024  357   83.071   -0.835   3.653
     remote           refid      st t when poll reach   delay   offset  jitter
==============================================================================
 ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
*brenbox.westnet .GPS.            1 u  341 1024  377   20.854   -1.081   1.388
-time.shf.uk.as4 198.137.202.11   3 u  180 1024  377   27.388   -0.244   0.852
-kabel.kashra-se .PPS.            1 u  323 1024  377   59.806   -6.462   1.749
-185.216.231.116 52.239.121.49    3 u  38m 1024  374  175.482   -6.143  12.497
+ntp1.ds.network 92.21.53.217     2 u  300 1024  377   32.316   -0.720   1.204
+crimson.en.kku. 202.12.97.45     2 u  996 1024  377  220.770   -0.742   3.129
+chilipepper.can 17.253.34.251    2 u 1028 1024  333   26.806   -0.722   0.831
+golem.canonical 17.253.108.253   2 u   59 1024  277   27.805   -0.528   1.288
+alphyn.canonica 17.253.34.253    2 u 2010 1024  336   83.071   -0.835   3.653
     remote           refid      st t when poll reach   delay   offset  jitter
==============================================================================
 ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
*brenbox.westnet .GPS.            1 u  502 1024  377   23.862   -0.651   1.647
+time.shf.uk.as4 198.137.202.11   3 u  328 1024  377   27.388   -0.244   1.091
-kabel.kashra-se .PPS.            1 u  472 1024  377   59.806   -6.462   2.520
-185.216.231.116 52.239.121.49    3 u  58m 1024  370  175.482   -6.143  12.497
