,     remote           refid      st t when poll reach   delay   offset  jitter
105,-crimson.en.kku. 202.28.116.236   2 u  521  512  177  220.581    1.298   1.742
106,+chilipepper.can 37.15.221.189    2 u  468  512  327   27.407    0.081   1.547
107,+golem.canonical 17.253.108.253   2 u  506  512  377   25.828    0.319   2.319
108,-alphyn.canonica 145.238.203.14   2 u  379  512  377   82.026   -0.080   1.800
109,     remote           refid      st t when poll reach   delay   offset  jitter
110, ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
111,*brenbox.westnet .GPS.            1 u  386  512  377   20.954   -0.435   0.658
112,-time.shf.uk.as4 198.137.202.11   3 u  294  512  377   28.049    0.606   1.332
113,-kabel.kashra-se .PPS.            1 u  339  512  377   55.488   -4.155   2.265
114,-185.216.231.116 52.239.121.49    3 u  793  512  162  170.109   -7.565   1.370
115,+ntp1.ds.network 92.21.53.217     2 u  394  512  377   32.885   -0.759   0.924
116,-crimson.en.kku. 202.12.97.45     2 u  147  512  377  220.986    2.072   1.026
117,+chilipepper.can 17.253.34.123    2 u   79  512  277   25.609    0.103   1.448
118,+golem.canonical 17.253.108.125   2 u  117  512  377   26.543    1.225   1.956
119,-alphyn.canonica 194.58.200.20    2 u  521  512  377   82.026   -0.080   0.978
120,     remote           refid      st t when poll reach   delay   offset  jitter
121, ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
122,*brenbox.westnet .GPS.            1 u   22  512  377   21.872   -1.088   0.813
123,-time.shf.uk.as4 198.137.202.11   3 u  458  512  377   28.049    0.606   1.395
124,-kabel.kashra-se .PPS.            1 u  499  512  377   59.436   -3.826   2.155
125,-185.216.231.116 52.239.121.49    3 u  409  512  313  168.407   -8.476   1.739
126,+ntp1.ds.network 92.21.53.217     2 u   24  512  377   35.649    0.971   2.517
127,-crimson.en.kku. 202.12.97.45     2 u  283  512  375  220.986    2.072   0.782
128,+chilipepper.can 145.238.203.14   2 u  225  512  377   25.609    0.103   1.441
